timestamp,asset_id,asset_code,vibration,temperature,pressure,current_value,speed,flow,runtime_hours
2026-05-01T08:00:00Z,furnace,FURNACE_001,2.1,1320,6.8,185,98,142,12400
2026-05-01T09:00:00Z,furnace,FURNACE_001,2.2,1325,6.7,187,97,141,12401
2026-05-01T10:00:00Z,furnace,FURNACE_001,2.4,1331,6.6,189,97,139,12402
2026-05-01T11:00:00Z,furnace,FURNACE_001,3.1,1395,6.1,205,94,130,12403
2026-05-01T12:00:00Z,furnace,FURNACE_001,3.8,1458,5.7,224,91,121,12404
2026-05-01T13:00:00Z,furnace,FURNACE_001,4.4,1485,5.3,238,88,113,12405
2026-05-01T08:00:00Z,feeder,FEEDER_001,1.8,430,7.2,128,102,86,8700
2026-05-01T09:00:00Z,feeder,FEEDER_001,1.9,432,7.1,130,101,85,8701
2026-05-01T10:00:00Z,feeder,FEEDER_001,2.0,435,7.0,132,100,84,8702
2026-05-01T11:00:00Z,feeder,FEEDER_001,3.7,446,5.8,148,93,68,8703
2026-05-01T12:00:00Z,feeder,FEEDER_001,4.2,452,5.2,158,88,61,8704
2026-05-01T13:00:00Z,feeder,FEEDER_001,4.8,459,4.8,166,84,55,8705
2026-05-01T08:00:00Z,is_forming,IS_MACHINE_001,3.2,82,6.4,210,96,72,15600
2026-05-01T09:00:00Z,is_forming,IS_MACHINE_001,3.4,83,6.3,214,95,71,15601
2026-05-01T10:00:00Z,is_forming,IS_MACHINE_001,3.7,84,6.2,218,94,70,15602
2026-05-01T11:00:00Z,is_forming,IS_MACHINE_001,7.6,92,5.4,258,83,58,15603
2026-05-01T12:00:00Z,is_forming,IS_MACHINE_001,8.8,98,4.9,276,78,51,15604
2026-05-01T13:00:00Z,is_forming,IS_MACHINE_001,9.4,103,4.5,292,72,46,15605
2026-05-01T08:00:00Z,annealing_lehr,ANNEALING_LEHR_001,1.9,520,6.9,160,100,112,11200
2026-05-01T09:00:00Z,annealing_lehr,ANNEALING_LEHR_001,2.0,522,6.8,162,100,111,11201
2026-05-01T10:00:00Z,annealing_lehr,ANNEALING_LEHR_001,2.1,525,6.7,164,99,110,11202
2026-05-01T11:00:00Z,annealing_lehr,ANNEALING_LEHR_001,3.5,548,5.9,182,94,92,11203
2026-05-01T12:00:00Z,annealing_lehr,ANNEALING_LEHR_001,4.1,565,5.5,197,89,81,11204
2026-05-01T13:00:00Z,annealing_lehr,ANNEALING_LEHR_001,4.7,581,5.1,211,84,73,11205
2026-05-01T08:00:00Z,inspection,INSPECTION_001,1.1,38,6.3,92,104,48,6400
2026-05-01T09:00:00Z,inspection,INSPECTION_001,1.2,39,6.2,94,103,47,6401
2026-05-01T10:00:00Z,inspection,INSPECTION_001,1.3,40,6.2,95,102,47,6402
2026-05-01T11:00:00Z,inspection,INSPECTION_001,2.8,48,5.3,121,91,39,6403
2026-05-01T12:00:00Z,inspection,INSPECTION_001,3.4,53,4.9,136,85,34,6404
2026-05-01T13:00:00Z,inspection,INSPECTION_001,3.9,58,4.5,148,79,30,6405
2026-05-01T08:00:00Z,packaging,PACKAGING_001,2.4,45,6.7,118,101,58,9200
2026-05-01T09:00:00Z,packaging,PACKAGING_001,2.5,46,6.6,119,101,58,9201
2026-05-01T10:00:00Z,packaging,PACKAGING_001,2.6,47,6.5,121,100,57,9202
2026-05-01T11:00:00Z,packaging,PACKAGING_001,5.9,57,5.6,168,87,43,9203
2026-05-01T12:00:00Z,packaging,PACKAGING_001,6.7,63,5.1,184,81,37,9204
2026-05-01T13:00:00Z,packaging,PACKAGING_001,7.3,68,4.7,198,76,33,9205
2026-05-01T08:00:00Z,palletizer,PALLETIZER_001,2.0,42,7.0,125,99,62,7800
2026-05-01T09:00:00Z,palletizer,PALLETIZER_001,2.1,43,6.9,126,99,61,7801
2026-05-01T10:00:00Z,palletizer,PALLETIZER_001,2.2,44,6.8,128,98,60,7802
2026-05-01T11:00:00Z,palletizer,PALLETIZER_001,4.9,55,5.7,156,86,46,7803
2026-05-01T12:00:00Z,palletizer,PALLETIZER_001,5.6,61,5.2,171,79,39,7804
2026-05-01T13:00:00Z,palletizer,PALLETIZER_001,6.2,66,4.8,185,73,35,7805
2026-05-01T08:00:00Z,conveyor,CONVEYOR_001,2.8,41,6.5,135,103,74,18200
2026-05-01T09:00:00Z,conveyor,CONVEYOR_001,2.9,42,6.4,137,102,73,18201
2026-05-01T10:00:00Z,conveyor,CONVEYOR_001,3.0,43,6.3,139,101,72,18202
2026-05-01T11:00:00Z,conveyor,CONVEYOR_001,6.4,51,5.4,178,88,55,18203
2026-05-01T12:00:00Z,conveyor,CONVEYOR_001,7.1,57,4.9,194,82,48,18204
2026-05-01T13:00:00Z,conveyor,CONVEYOR_001,7.8,63,4.5,209,76,42,18205
