schedule_id,asset_id,asset_code,component_id,component_code,task_name,planned_date,frequency,last_completed_date,recommended_interval_days,priority,status,maintenance_strategy,ai_recommended_date,ai_reason
1,3,IS_MACHINE_001,301,ISM-MOLDS,Replace mold set,2026-06-03,quarterly,2026-03-05,90,high,due_soon,preventive replacement,2026-05-30,sample history shows mold wear caused bottle defects near the end of the replacement interval
2,3,IS_MACHINE_001,304,ISM-PNEUMATIC,Inspect pneumatic valves and air leaks,2026-05-21,biweekly,2026-05-07,14,high,due_soon,condition monitoring plus leak inspection,2026-05-20,recent low pressure repair suggests valve and fitting leak checks should be pulled earlier
3,3,IS_MACHINE_001,305,ISM-LUBE,Check lubrication system,2026-05-18,weekly,2026-05-11,7,critical,overdue,lubrication route inspection,2026-05-17,lubrication blockage history can increase temperature and forming defects
4,3,IS_MACHINE_001,306,ISM-COOLING,Inspect cooling channels,2026-05-22,biweekly,2026-05-01,14,medium,due_soon,flow inspection and cleaning,2026-05-21,blocked cooling nozzles were found in recent history
5,3,IS_MACHINE_001,307,ISM-PUSHOUT,Check pushout timing and pivots,2026-05-27,monthly,2026-04-24,30,medium,planned,mechanical timing inspection,2026-05-25,pushout timing faults can create jams and handling defects
6,3,IS_MACHINE_001,309,ISM-SHEAR,Check shear mechanism alignment,2026-05-24,biweekly,2026-05-03,14,high,due_soon,blade and timing inspection,2026-05-23,shear blade wear has caused unstable gob quality
7,6,PACKAGING_001,605,PKG-SUCTION,Replace vacuum suction cups,2026-06-15,monthly,2026-05-15,30,high,due_soon,preventive replacement,2026-06-10,recent history shows vacuum loss when suction cups exceed 30 days
8,6,PACKAGING_001,606,PKG-SEAL,Replace seal kit,2026-06-04,every 45 days,2026-04-20,45,high,due_soon,preventive replacement,2026-06-01,seal wear and vacuum leakage repeated before replacement
9,6,PACKAGING_001,608,PKG-PNEUMATIC,Inspect pneumatic lines,2026-05-21,biweekly,2026-05-07,14,high,due_soon,pressure monitoring and leak inspection,2026-05-20,slow cylinder motion was linked to pneumatic air leaks
10,6,PACKAGING_001,601,PKG-CASE-PACKER,Check case packer alignment,2026-05-26,monthly,2026-05-05,21,medium,planned,alignment and cycle timing inspection,2026-05-24,repeated jams can occur when case magazine guides drift
11,6,PACKAGING_001,603,PKG-STRAP,Inspect strapping tension,2026-05-30,monthly,2026-04-30,30,medium,planned,tension inspection,2026-05-29,loose straps were previously corrected by tensioner adjustment
12,6,PACKAGING_001,604,PKG-LABEL,Calibrate labeling sensor,2026-05-28,monthly,2026-04-28,30,medium,planned,print quality and sensor calibration,2026-05-27,label skew and rejected packs increase when sensors drift
13,1,FURNACE_001,102,FUR-REFRACTORY,Inspect refractory lining,2026-06-12,shutdown,2026-02-20,180,high,planned,shutdown inspection,2026-06-08,hot spot history means refractory inspection should be prepared before the next furnace window
14,1,FURNACE_001,103,FUR-TEMP,Calibrate temperature loop,2026-06-01,monthly,2026-05-02,30,medium,due_soon,calibration and trend monitoring,2026-05-30,temperature sensor drift can create unstable furnace profile
15,1,FURNACE_001,101,FUR-BURNER,Clean burner nozzles,2026-05-27,biweekly,2026-05-06,14,medium,due_soon,combustion inspection,2026-05-26,nozzle fouling previously caused flame instability
16,2,FEEDER_001,202,FDR-MOTOR,Inspect feeder drive motor,2026-05-31,monthly,2026-05-01,30,medium,planned,vibration and current monitoring,2026-05-29,drive bearing wear was corrected recently and should be trended
17,2,FEEDER_001,203,FDR-BELT,Check belt chain tension,2026-05-27,monthly,2026-04-27,30,medium,due_soon,tension inspection,2026-05-26,low tension history can affect feeder stability
18,2,FEEDER_001,204,FDR-HOPPER,Clean hopper and flow gate,2026-05-24,biweekly,2026-05-10,14,medium,due_soon,cleaning and blockage inspection,2026-05-23,historic buildup caused hopper bridging and low flow
19,4,ANNEALING_LEHR_001,402,LEHR-FANS,Inspect cooling fans,2026-05-26,monthly,2026-04-26,30,medium,due_soon,temperature and vibration monitoring,2026-05-24,fan bearing wear previously affected cooling stability
20,4,ANNEALING_LEHR_001,404,LEHR-ROLLERS,Check roller system,2026-06-09,every 60 days,2026-04-10,60,medium,planned,roller alignment inspection,2026-06-05,roller alignment drift caused container travel skew
21,4,ANNEALING_LEHR_001,403,LEHR-TEMP,Verify temperature zones,2026-05-29,monthly,2026-04-29,30,medium,planned,zone calibration review,2026-05-28,zone profile deviation was corrected by calibration
22,5,INSPECTION_001,501,INSP-CAMERA,Clean camera lenses,2026-05-23,biweekly,2026-05-09,14,medium,due_soon,image quality monitoring,2026-05-22,lens contamination increased false rejects
23,5,INSPECTION_001,503,INSP-REJECT,Calibrate rejection system,2026-05-20,biweekly,2026-05-06,14,high,overdue,reject timing calibration,2026-05-19,reject timing faults can allow bad containers through
24,5,INSPECTION_001,502,INSP-LIGHTING,Inspect lighting units,2026-05-18,biweekly,2026-05-04,14,medium,overdue,intensity check and cleaning,2026-05-17,lighting degradation previously caused inspection instability
