component_id,asset_id,asset_code,component_code,component_name,component_type,description,criticality,condition,health_score,has_sensor_data,has_cbm,maintenance_strategy,maintenance_interval_days,last_maintenance_date,next_planned_maintenance,frequent_failures,recommended_action
101,1,FURNACE_001,FUR-BURNER,Burner System,Thermal control,Gas burners and flame control hardware,critical,healthy,91,true,true,condition based monitoring plus weekly combustion inspection,14,2026-05-06,2026-05-27,flame instability;nozzle fouling,Verify combustion trend and inspect burner nozzles
102,1,FURNACE_001,FUR-REFRACTORY,Refractory Lining,Maintainable lining,Heat resistant furnace lining,critical,healthy,86,false,false,inspection based maintenance during planned shutdown,180,2026-02-20,2026-08-19,cracking;hot spots,Inspect refractory during next scheduled furnace window
103,1,FURNACE_001,FUR-TEMP,Temperature Control System,Instrumentation,Thermocouples controllers and control loop,critical,healthy,93,true,true,calibration and trend monitoring,30,2026-05-02,2026-06-01,sensor drift;controller alarm,Validate temperature loop and calibrate thermocouples
104,1,FURNACE_001,FUR-COOLING,Cooling System,Utilities,Cooling water and air support system,high,healthy,88,true,true,flow and temperature monitoring,30,2026-04-28,2026-05-28,low flow;blocked strainer,Check cooling flow and clean strainers
105,1,FURNACE_001,FUR-EXHAUST,Exhaust System,Air handling,Exhaust ducts dampers and draft control,high,healthy,84,true,true,draft monitoring and monthly inspection,30,2026-04-30,2026-05-30,draft instability;damper sticking,Inspect damper response and exhaust draft
106,1,FURNACE_001,FUR-SAFETY,Safety Interlocks,Safety,Safety devices and permissive circuits,critical,healthy,96,false,false,proof test and functional safety inspection,90,2026-04-01,2026-06-30,interlock trip;limit switch fault,Perform scheduled safety interlock proof test
201,2,FEEDER_001,FDR-BOWL,Feeder Bowl,Process contact,Bowl and spout area feeding glass,high,healthy,87,false,false,visual inspection and wear check,30,2026-05-03,2026-06-02,wear buildup;thermal cracking,Inspect bowl wear and remove buildup
202,2,FEEDER_001,FDR-MOTOR,Drive Motor,Rotating equipment,Motor driving feeder motion,high,healthy,89,true,true,vibration and current monitoring,30,2026-05-01,2026-05-31,bearing wear;overload,Trend motor current and inspect bearings
203,2,FEEDER_001,FDR-BELT,Belt/Chain Drive,Mechanical drive,Power transmission drive section,medium,healthy,85,true,true,condition monitoring and tension inspection,30,2026-04-27,2026-05-27,chain slack;misalignment,Check drive tension and alignment
204,2,FEEDER_001,FDR-HOPPER,Hopper,Material handling,Hopper and feed throat,medium,healthy,82,false,false,cleaning and blockage inspection,14,2026-05-10,2026-05-24,bridging;material blockage,Inspect hopper throat and clean buildup
205,2,FEEDER_001,FDR-GATE,Flow Control Gate,Flow control,Adjustable gate controlling glass flow,high,attention,78,true,true,flow trend and weekly actuation check,14,2026-05-07,2026-05-21,sticking gate;low flow,Check gate movement and verify flow response
206,2,FEEDER_001,FDR-VIBRATION,Vibration Unit,Mechanical assist,Vibration support for controlled feeding,medium,healthy,86,true,true,vibration monitoring and mounting inspection,30,2026-04-29,2026-05-29,loose mounting;unbalanced motion,Inspect vibration mounts and trend amplitude
301,3,IS_MACHINE_001,ISM-MOLDS,Molds,Tooling,Blank and blow molds for bottle forming,critical,attention,,false,false,preventive replacement and dimensional inspection,90,2026-03-05,2026-06-03,wear marks;neck finish defect;surface checking,Review replacement timing and inspect mold wear pattern
302,3,IS_MACHINE_001,ISM-BLANK,Blank Side Mechanism,Mechanism,Blank side forming mechanism and section hardware,critical,attention,66,true,true,condition monitoring and weekly mechanical inspection,14,2026-05-04,2026-05-18,sticking motion;timing drift,Inspect blank side motion and verify section timing
303,3,IS_MACHINE_001,ISM-BLOW,Blow Side Mechanism,Mechanism,Blow side mechanism and final forming hardware,critical,attention,69,true,true,condition monitoring and weekly mechanical inspection,14,2026-05-04,2026-05-18,mechanical looseness;timing drift,Inspect blow side linkage and verify final blow timing
304,3,IS_MACHINE_001,ISM-PNEUMATIC,Pneumatic System,Utilities,Compressed air valves regulators and manifolds,critical,warning,61,true,true,pressure monitoring and leak inspection,14,2026-05-07,2026-05-21,air leak;low pressure;valve sticking,Inspect air leaks and validate valve response
305,3,IS_MACHINE_001,ISM-LUBE,Lubrication System,Lubrication,Central lubrication delivery and metering,critical,warning,64,true,true,oil pressure monitoring and lubrication route check,7,2026-05-11,2026-05-18,blocked line;low lubrication;contamination,Check lubrication flow and clean blocked line
306,3,IS_MACHINE_001,ISM-COOLING,Cooling System,Utilities,Mold and section cooling circuit,high,attention,72,true,true,flow monitoring and weekly cleaning,14,2026-05-01,2026-05-15,low flow;blocked nozzle,Inspect cooling nozzles and flow balance
307,3,IS_MACHINE_001,ISM-PUSHOUT,Pushout System,Mechanism,Pushout arms and timing hardware,high,attention,70,true,true,timing inspection and drive monitoring,21,2026-04-24,2026-05-15,pushout timing fault;mechanical wear,Verify pushout timing and inspect pivots
308,3,IS_MACHINE_001,ISM-DRIP,Drip Deflector,Tooling,Deflector and gob handling area,medium,healthy,,false,false,visual inspection and cleaning,14,2026-05-09,2026-05-23,contamination;bent deflector,Inspect deflector position and clean deposits
309,3,IS_MACHINE_001,ISM-SHEAR,Shear Mechanism,Cutting mechanism,Shear blades and drive mechanism,critical,attention,67,true,true,vibration current and blade inspection,14,2026-05-03,2026-05-17,blade wear;timing drift,Inspect shear blades and verify timing
310,3,IS_MACHINE_001,ISM-CONTROL,Control Panel,Electrical control,PLC cabinet drives and section controls,critical,healthy,82,true,true,electrical inspection and alarm review,30,2026-04-30,2026-05-30,drive fault;loose terminal,Review control alarms and inspect cabinet cooling
401,4,ANNEALING_LEHR_001,LEHR-DRIVE,Lehr Drive System,Drive system,Drive motor gearbox and speed control,high,healthy,85,true,true,vibration and speed monitoring,30,2026-05-02,2026-06-01,gearbox resistance;drive fault,Trend drive current and inspect gearbox
402,4,ANNEALING_LEHR_001,LEHR-FANS,Cooling Zone Fans,Air handling,Cooling fans and airflow control,high,healthy,83,true,true,temperature and vibration monitoring,30,2026-04-26,2026-05-26,bearing noise;low airflow,Inspect fan bearings and airflow balance
403,4,ANNEALING_LEHR_001,LEHR-TEMPCTRL,Temperature Control System,Instrumentation,Lehr temperature controls and sensors,critical,healthy,87,true,true,calibration and zone trend review,30,2026-04-29,2026-05-29,sensor drift;zone deviation,Calibrate zone sensors and verify profile
404,4,ANNEALING_LEHR_001,LEHR-ROLLERS,Roller System,Material handling,Rollers supporting container flow,high,healthy,82,false,false,inspection and replacement by wear condition,60,2026-04-10,2026-06-09,roller wear;skewed travel,Inspect roller wear and alignment
405,4,ANNEALING_LEHR_001,LEHR-CHAIN,Conveyor Chain,Mechanical transport,Chain transport inside lehr,high,attention,76,true,true,tension inspection and drive monitoring,30,2026-05-01,2026-05-31,chain slack;guide wear,Check chain tension and guide wear
406,4,ANNEALING_LEHR_001,LEHR-HEATING,Burner/Heating Zone,Thermal control,Heating zone burners and controls,critical,healthy,88,true,true,combustion and temperature monitoring,30,2026-04-27,2026-05-27,burner fault;zone instability,Inspect heating zone stability and burner response
501,5,INSPECTION_001,INSP-CAMERA,Camera System,Vision system,Cameras and image processing hardware,high,healthy,78,true,true,image quality monitoring and cleaning,14,2026-05-09,2026-05-23,dirty lens;camera fault,Clean lenses and verify image quality
